Hash_ID,Data_Coleta,Ano,Pessoa,Fonte,Portal,Titulo,Link
cd1b6f6f4cdbd0d22da9557fd67bf992,"Fri, 11 Jan 2008 08:00:00 GMT",2014,Yuri Almeida,Google News RSS,news.google.com,Trio é preso acusado de assaltar estacionamento no Batel - Tribuna do Paraná,https://news.google.com/rss/articles/CBMipAFBVV95cUxOSnhWa2FKZ3NCX2ZZZEZ4dXBtaXZzRThLRy1DTjFlVjBIUkNQU0lvcjhIakF0RDdBemEwN2tTT1pLMEtzdjFKaEVIZFBNSTJGeTdndUYzQkZ4VVZjajJmYXE1ZHJLRmRESTV0SDV5Q0MyYmtZUXhYNGZPUEFaaEdTMDdvZktyYUFNUVd1RjA2VWQzeHBVVDNFR0EtOTdvcUFXczBVNtIBqgFBVV95cUxPMzFOTUQ4X0MxYXhra0RoZ1FWUWkxYkozM1p5ckppSG9XWi1ZS2FMZC1UVnk0VGFMM2lfcndIaDk0NHg4cW9UTzc3TndmZHdNVWU3THMtV0dDaGdjX0pGd1ZzNHF2dXpPWlhFcUhYNDd2N19NZ1V3MUZXc0xZS1RIelBHRWZ3LXVJWV9hdU1teHdleG5oNWM2Z3JoZldrTDJVUVpLUWx0MW10Zw?oc=5
05a56474cfb372c101f73a1e973ec7e1,"Sat, 12 Jan 2013 08:00:00 GMT",2014,Yuri Almeida,Google News RSS,news.google.com,Ex-participante Yuri é o novo integrante do BBB13 - G1,https://news.google.com/rss/articles/CBMiogFBVV95cUxOSGVrU1NIQ0V6eUxaUEc1TXczQjVFMXF4X1BGYVU1YnZEdWJSQTNFanFpUERkdTE3WS1fOHVjcS1HaTc4c0g5THk0WmsySDNfUEpFXzdJaWxwNlRkU2pXT3I2NFR3aGljOE9RWk5CY0V6QzEtbDZKdG0tRWlwUzdKdXVUUDM0clRHLWtRV21zVk1WY2VzU1ZoOTQxSzhTQjNQLXc?oc=5
2ce48d48685c61dbefff6588e5b15aff,"Sun, 19 Dec 2010 08:00:00 GMT",2014,Yuri Almeida,Google News RSS,news.google.com,A última Aloha do ano - Portal IN - Pompeu Vasconcelos - Balada IN,https://news.google.com/rss/articles/CBMibkFVX3lxTE50VmxwUjhMSlRqcW12OUFKSW5jRzlOOFpvY2FJZC11VHV5Vl9SSEVDN213VHZ3NEpyXzFrZklUVFhPRnd5SXQtTVNXVzFmTEkzdWRnVGVzMVBmdVBKNW1vdXozczZIbUpLcUVlVFN3?oc=5
