Data,Portal,Link
06/05/2026 19:46,eduplay.rnp.br,https://eduplay.rnp.br/app/canal/299242
06/05/2026 19:46,observatoriolatinoamericano.com,https://observatoriolatinoamericano.com/author/yuri-de-oliveira-luna-e-almeida/
06/05/2026 19:46,portaltransparenciabrasil.com,https://portaltransparenciabrasil.com/viagem/yuri-de-oliveira-luna-e-almeida-0000000000021252771-1
06/05/2026 19:46,ifbaiano.edu.br,https://www.ifbaiano.edu.br/unidades/lapa/ngti/
06/05/2026 19:46,researchgate.net,https://www.researchgate.net/publication/376467786_O_uso_das_tecnologias_da_informacao_e_comunicacao_na_organizacao_do_trabalho_pedagogico_em_uma_escola_de_ensino_fundamental_Pos-Pandemia_COVID-19
06/05/2026 19:46,ojs.observatoriolatinoamericano.com,https://ojs.observatoriolatinoamericano.com/ojs/index.php/olel/article/view/2082
06/05/2026 19:46,anais2.uesb.br,https://anais2.uesb.br/index.php/semgepraxis/article/view/2010
06/05/2026 19:46,cefor.ifes.edu.br,https://cefor.ifes.edu.br/images/stories/Classifica%C3%A7%C3%A3o_preliminar_TCF_05.2026.pdf
06/05/2026 19:46,portal.ifsuldeminas.edu.br,https://portal.ifsuldeminas.edu.br/attachments/article/6490/Edital%20208%20de%202024%20-%20RESULTADO%20FINAL.pdf
06/05/2026 19:46,editorametrics.com.br,https://editorametrics.com.br/livro/coordenacao-pedagogica-e-processos-formativos
06/05/2026 19:53,concurso.ifbaiano.edu.br,https://concurso.ifbaiano.edu.br/portal/eleicao-cis-pcctae-2025/wp-content/uploads/sites/1150/2025/03/resultado.final_.pdf
06/05/2026 19:53,portal.ifsuldeminas.edu.br,https://portal.ifsuldeminas.edu.br/attachments/article/6490/Edital%20208%20de%202024%20-%20RESULTADO%20PRELIMINAR%20DA%20AN%C3%81LISE%20DE%20PONTUA%C3%87%C3%83O%20(2).pdf
06/05/2026 19:53,poscom.ufba.br,http://poscom.ufba.br/wp-content/uploads/2025/09/Inscricoes-homologadas-Mestrado-Selecao-Regular-2026.docx.pdf
07/05/2026 11:06,ifbaiano.edu.br,https://ifbaiano.edu.br/portal/comissoes/comissao-interna-de-supervisao/
16/05/2026 10:10,ifbaiano.edu.br,https://www.ifbaiano.edu.br/unidades/lapa/files/2024/02/PORTARIA-73_2023.pdf
19/05/2026 11:58,ifbaiano.edu.br,https://ifbaiano.edu.br/portal/engenharia-agronomica-lapa/wp-content/uploads/sites/21/2017/03/8-Normas-de-Biosseguranca-dos-Laboratorios-Didaticos.pdf
19/05/2026 11:58,concurso.ifbaiano.edu.br,https://concurso.ifbaiano.edu.br/portal/pronatec-simplificado-20152/wp-content/uploads/sites/29/2015/12/Resultado.pdf
20/05/2026 11:46,orcid.org,https://orcid.org/0000-0001-7646-3202
22/05/2026 11:42,groups.google.com,https://groups.google.com/g/pedagogia-uneb-20172/c/hd37cnBjXzg
24/05/2026 10:27,anais2.uesb.br,https://anais2.uesb.br/index.php/semgepraxis/citationstylelanguage/get/ieee?submissionId=2010&publicationId=2010
25/05/2026 12:24,researchgate.net,https://www.researchgate.net/publication/360558524_MAES_FORMADAS_EM_DIREITO_NO_ESTADO_DO_RIO_DE_JANEIRO_UM_ESTUDO_SOBRE_O_IMPACTO_DA_PANDEMIA_DE_COVID-19_E_DO_USO_DAS_TECNOLOGIAS_DE_COMUNICACAO_E_INFORMACAO_NAS_ROTINAS_PROFISSIONAL_E_FAMILIAR_DAS_MULH
27/05/2026 12:16,researchgate.net,https://www.researchgate.net/profile/Isaura-Francisco-De-Oliveira
27/05/2026 12:16,groups.google.com,https://groups.google.com/g/pedagogia-uneb-20172/c/KxQEsegU7KM
27/05/2026 12:16,eduplay.rnp.br,https://eduplay.rnp.br/app/video/405211
30/05/2026 10:45,researchgate.net,https://www.researchgate.net/publication/402633163_TECNOLOGIAS_DA_INFORMACAO_E_COMUNICACAO_NO_ENSINO_DE_POS-GRADUACAO_EM_ENFERMAGEM_NA_PANDEMIA_DE_COVID-19
31/05/2026 10:53,escavador.com,https://www.escavador.com/diarios/6193456/DOU/secao-2/2026-01-09?page=13
03/06/2026 13:12,anais2.uesb.br,https://anais2.uesb.br/index.php/semgepraxis/citationstylelanguage/get/vancouver?submissionId=2010&publicationId=2010
03/06/2026 13:12,eduplay.rnp.br,https://eduplay.rnp.br/app/video/412722
07/06/2026 11:05,groups.google.com,https://groups.google.com/g/pedagogia-uneb-20172/c/cqkb6KmMpA0
15/06/2026 15:10,anais2.uesb.br,https://anais2.uesb.br/index.php/semgepraxis/article/download/2010/1577
19/06/2026 12:42,poscom.ufba.br,http://poscom.ufba.br/wp-content/uploads/2025/09/Inscricoes-recebidas-Mestrado-Selecao-Regular-2026.docx-1.pdf
